DBMS PROJECT: DTH MANAGEMENT
201401127-Krishanu Konar
201401130-Piyush Datani
201401131-Kunal Suthar
201401132-Jay Trivedi

INSERT QUERIES

Relation-1 : address

INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (165, 394838, '033', '0 Shelley Circle');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (166, 517998, '26', '67940 Del Sol Street');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (167, 603566, '14', '03726 Northland Court');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (168, 806604, '95', '72991 Oak Avenue');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (169, 190497, '0143', '4 Johnson Road');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (170, 880589, '77624', '81 Mcguire Trail');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (171, 120514, '95', '9574 Hagan Plaza');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (172, 793725, '59300', '069 8th Hill');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (173, 873557, '0016', '07458 Vidon Junction');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (174, 455411, '7699', '0 Hudson Circle');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (175, 936740, '49419', '6 Manufacturers Park');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (176, 921762, '66', '884 Russell Street');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (177, 110004, '9', '09909 Rieder Hill');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (178, 373619, '7', '700 Lien Point');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (179, 509523, '2', '667 Stone Corner Street');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (180, 517998, '5321', '8 Anniversary Alley');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (181, 791164, '2', '855 Bay Alley');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (182, 236064, '57', '2 Dakota Road');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (183, 921762, '3726', '5 Washington Circle');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (184, 873557, '7120', '79175 Reinke Crossing');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (185, 603566, '280', '3151 Sommers Plaza');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (186, 936740, '7', '37 Magdeline Terrace');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (187, 793725, '47816', '5969 Mallard Street');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (188, 672456, '4402', '0383 Cottonwood Court');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (189, 921762, '1542', '996 Transport Lane');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (190, 402767, '61170', '5 Judy Avenue');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (191, 954164, '7', '0 Crest Line Avenue');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (192, 464903, '4', '4902 Carey Parkway');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (193, 154005, '82', '5864 Russell Place');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (194, 154005, '1035', '25 School Plaza');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (195, 373619, '07135', '7 Eagan Park');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (196, 758945, '007', '20691 Burrows Court');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (197, 509523, '9319', '3 Northview Alley');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (198, 672456, '373', '0 Bayside Parkway');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (199, 913188, '019', '8667 Oriole Alley');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (200, 281007, '7743', '981 Kenwood Pass');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (201, 939897, '87', '43 Stephen Park');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (202, 181234, '918', '68830 Manley Parkway');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (203, 373619, '22', '779 Monterey Terrace');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (204, 668577, '87041', '64877 Mendota Center');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (205, 347429, '2', '07174 Karstens Circle');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (206, 281007, '1692', '722 Quincy Plaza');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (207, 545928, '2906', '4676 Oriole Crossing');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (208, 217774, '939', '72561 Blaine Junction');
INSERT INTO address (user_id, pin_code, house_no, street_name) VALUES (209, 483756, '53', '2 North Crossing');
